"student_id","school_id","grade","reading_time_home","parent_education","school_type","gender","birth_months","n_siblings","ses_index","naplan_reading_score"
1,51,"Year 7",70,"Certificate/Diploma","Government","Female","Aug",2,0.87,724
2,26,"Year 3",70,"Year 12","Government","Female","Apr",1,0.11,439
3,14,"Year 7",30,"Bachelor degree","Government","Male","Jul",1,1.14,631
4,21,"Year 3",0,"Bachelor degree","Independent","Female","Sep",1,0.66,491
5,33,"Year 9",20,"Year 12","Government","Male","Dec",0,0.27,635
6,26,"Year 9",25,"Year 10 or below","Government","Female","Nov",1,-0.95,592
7,37,"Year 3",5,"Year 10 or below","Government","Female","Aug",3,-0.65,449
8,41,"Year 7",90,"Bachelor degree","Government","Female","Sep",2,1.01,484
9,8,"Year 9",45,"Year 10 or below","Government","Female","Oct",1,-0.6,730
10,60,"Year 7",10,"Year 10 or below","Government","Male","Mar",3,-1.14,528
11,12,"Year 5",0,"Year 12","Catholic","Male","Aug",5,0.63,502
12,58,"Year 9",10,"Bachelor degree","Government","Female","Feb",3,1.06,678
13,34,"Year 5",10,"Year 12","Catholic","Female","Jul",2,-0.17,481
14,43,"Year 9",45,"Year 10 or below","Government","Male","Apr",1,-0.59,679
15,18,"Year 7",45,"Year 10 or below","Government","Male","Jul",2,-0.26,391
16,40,"Year 9",0,"Year 12","Government","Female","Sep",2,-0.37,611
17,28,"Year 7",0,"Year 10 or below","Independent","Female","Nov",2,0.97,562
18,37,"Year 5",5,"Bachelor degree","Government","Female","Dec",3,1.06,569
19,1,"Year 7",15,"Bachelor degree","Independent","Male","Oct",3,1.61,703
20,41,"Year 3",10,"Postgraduate","Government","Male","Mar",1,1.45,434
21,17,"Year 5",5,"Certificate/Diploma","Independent","Male","Aug",2,0.53,520
22,52,"Year 7",20,"Bachelor degree","Government","Female","May",5,1.31,603
23,15,"Year 5",10,"Bachelor degree","Government","Female","Aug",2,0.15,563
24,48,"Year 9",0,"Year 12","Government","Male","Feb",2,-0.58,619
25,21,"Year 5",15,"Bachelor degree","Independent","Female","Aug",2,1.5,619
26,8,"Year 5",10,"Year 12","Government","Female","Dec",2,-0.23,518
27,56,"Year 3",10,"Bachelor degree","Catholic","Female","Jul",1,1.3,512
28,50,"Year 3",35,"Year 10 or below","Government","Female","Sep",3,-1.19,411
29,52,"Year 9",40,"Postgraduate","Government","Male","Sep",5,1.13,633
30,57,"Year 3",20,"Bachelor degree","Catholic","Female","Jul",1,1.27,419
31,18,"Year 7",30,"Year 12","Government","Male","Oct",5,0.88,523
32,19,"Year 9",10,"Year 10 or below","Government","Male","Sep",5,-0.48,596
33,41,"Year 5",35,"Year 12","Government","Male","Nov",2,-0.73,436
34,59,"Year 7",20,"Certificate/Diploma","Government","Female","Jul",1,1.09,629
35,27,"Year 7",35,"Year 10 or below","Government","Female","Sep",2,-1.46,603
36,57,"Year 5",0,"Year 12","Catholic","Female","May",2,-0.39,550
37,8,"Year 3",55,"Year 10 or below","Government","Female","Oct",2,-0.81,600
38,14,"Year 9",10,"Postgraduate","Government","Female","Dec",2,2.3,738
39,57,"Year 3",20,"Bachelor degree","Catholic","Male","Dec",1,1.5,419
40,58,"Year 3",0,"Certificate/Diploma","Government","Male","Oct",3,0.67,433
41,14,"Year 9",30,"Bachelor degree","Government","Female","Oct",1,1.06,664
42,50,"Year 7",65,"Year 10 or below","Government","Female","Mar",2,-0.81,681
43,12,"Year 3",10,"Certificate/Diploma","Catholic","Female","Apr",3,0.56,413
44,45,"Year 3",20,"Year 12","Government","Male","Jan",1,-1.49,343
45,7,"Year 5",10,"Year 10 or below","Catholic","Male","May",2,-0.44,494
46,8,"Year 3",20,"Year 12","Government","Female","Nov",2,0.89,484
47,15,"Year 5",30,"Certificate/Diploma","Government","Male","Nov",2,-0.31,544
48,43,"Year 5",0,"Year 12","Government","Female","Nov",2,1.06,439
49,59,"Year 7",10,"Certificate/Diploma","Government","Male","Nov",2,1.06,585
50,16,"Year 3",0,"Year 10 or below","Independent","Male","Sep",0,0.63,442
51,26,"Year 9",10,"Year 10 or below","Government","Male","Jul",2,-0.7,599
52,53,"Year 3",15,"Certificate/Diploma","Government","Male","May",2,0.27,502
53,10,"Year 7",20,"Year 10 or below","Catholic","Male","Sep",3,-1.23,565
54,44,"Year 5",10,"Year 10 or below","Independent","Male","Aug",3,0.02,534
55,9,"Year 3",65,"Certificate/Diploma","Catholic","Female","Aug",1,0.52,399
56,41,"Year 3",35,"Year 12","Government","Male","Feb",2,-0.4,339
57,5,"Year 5",0,"Certificate/Diploma","Government","Female","Oct",2,0.08,502
58,15,"Year 5",45,"Year 12","Government","Male","Jul",5,-0.15,571
59,56,"Year 5",5,"Postgraduate","Catholic","Female","Nov",0,2.27,593
60,35,"Year 9",0,"Bachelor degree","Government","Female","Apr",1,0.4,604
61,34,"Year 3",25,"Postgraduate","Catholic","Female","Dec",3,1.76,426
62,20,"Year 9",10,"Year 10 or below","Government","Male","Jun",1,-0.67,610
63,37,"Year 3",20,"Year 10 or below","Government","Male","Sep",2,-1.15,432
64,19,"Year 5",80,"Year 10 or below","Government","Female","Sep",1,-0.52,577
65,54,"Year 5",0,"Year 12","Catholic","Male","Feb",2,1.19,530
66,26,"Year 5",30,"Year 10 or below","Government","Male","Nov",4,-0.74,456
67,57,"Year 3",5,"Year 12","Catholic","Female","Oct",2,0.02,422
68,34,"Year 3",40,"Year 10 or below","Catholic","Female","Mar",2,-0.37,375
69,3,"Year 9",0,"Year 10 or below","Government","Male","Aug",2,-0.66,624
70,13,"Year 9",5,"Year 10 or below","Independent","Male","May",2,0.6,557
71,52,"Year 5",15,"Bachelor degree","Government","Female","Jun",5,0.83,566
72,45,"Year 5",40,"Certificate/Diploma","Government","Female","Nov",2,0.3,489
73,26,"Year 9",55,"Year 10 or below","Government","Male","Aug",1,-0.89,615
74,34,"Year 3",0,"Bachelor degree","Catholic","Female","Jan",2,0.75,488
75,9,"Year 3",15,"Year 12","Catholic","Male","Jul",1,0.72,369
76,14,"Year 3",10,"Certificate/Diploma","Government","Male","Feb",2,0.18,456
77,34,"Year 5",10,"Postgraduate","Catholic","Male","Sep",3,2.01,541
78,59,"Year 7",5,"Certificate/Diploma","Government","Male","Jul",1,-0.2,562
79,46,"Year 9",95,"Certificate/Diploma","Independent","Male","Nov",3,1.09,619
80,35,"Year 3",60,"Bachelor degree","Government","Female","Feb",1,1.31,600
81,6,"Year 5",5,"Certificate/Diploma","Government","Male","Oct",4,0.88,483
82,30,"Year 9",10,"Certificate/Diploma","Catholic","Male","Sep",1,0.08,616
83,2,"Year 9",15,"Bachelor degree","Independent","Female","Sep",3,1.76,699
84,28,"Year 7",10,"Year 10 or below","Independent","Male","Mar",1,-0.68,535
85,42,"Year 5",10,"Certificate/Diploma","Government","Female","Apr",4,-0.58,525
86,30,"Year 7",5,"Certificate/Diploma","Catholic","Female","Aug",2,0.24,627
