Ref,Experiment site,Year,Exp name,Sowing method,RANGE,ROW,REP,Variety,Nitrogen,N group,Estab (No/msq),PI DM (g/msq),PI Tillers (No/msq),PI NIR %N,PI N uptake (kg N/ha),PM DM (g/msq),Harv tillers (No/msq),HI,Quad Yield (t/ha@ 14%),Header Yield (t/ha@ 14%),Lodging (10=flat),Plant height (cm)
1,Hand,2015_16,Hand 15_16,Aerial,1,1,1,Sherpa,120-0,PW_1,256,605,1297,1.53,93,2384,768,0.5,13.48,*,1,65
2,Hand,2015_16,Hand 15_16,Aerial,1,2,1,Opus,0,zero,314,463,1513,1.32,61,1854,937,0.44,9.15,*,1,56
3,Hand,2015_16,Hand 15_16,Aerial,1,3,1,Reiziq,60-60,split 2,330,535,1089,1.32,71,2247,722,0.49,12.33,*,1,57
4,Hand,2015_16,Hand 15_16,Aerial,1,4,1,Reiziq,120-60,split,262,500,1057,2.12,106,2561,712,0.44,12.59,*,2,60
5,Hand,2015_16,Hand 15_16,Aerial,1,5,1,Koshi,60-120,split 3,254,536,1359,1.44,77,2042,854,0.36,8.37,*,9,77
6,Hand,2015_16,Hand 15_16,Aerial,1,6,1,Opus,180-0,PW_2,244,694,1208,1.85,128,2519,1192,0.43,12.28,*,3,59
7,Hand,2015_16,Hand 15_16,Aerial,1,7,1,Koshi,120-0,PW_1,270,557,1318,1.68,94,2128,1164,0.35,8.47,*,9,75
8,Hand,2015_16,Hand 15_16,Aerial,1,8,1,Sherpa,60-60,split 2,256,497,959,1.42,70,2138,744,0.54,12.99,*,1,58
9,Hand,2015_16,Hand 15_16,Aerial,1,9,1,Sherpa,0,zero,322,429,739,1.08,46,1790,693,0.51,10.25,*,1,58
10,Hand,2015_16,Hand 15_16,Aerial,1,10,1,Opus,120-60,split,316,649,1532,1.48,96,2312,865,0.45,11.65,*,7,63
11,Hand,2015_16,Hand 15_16,Aerial,1,11,1,Koshi,180-0,PW_2,364,699,1389,2.09,146,2112,980,0.36,8.63,*,9,74
12,Hand,2015_16,Hand 15_16,Aerial,1,12,1,Koshi,0,zero,324,435,1118,1.4,61,2034,1060,0.38,8.78,*,7,*
13,Hand,2015_16,Hand 15_16,Aerial,1,13,1,Sherpa,60-120,split 3,234,572,940,1.31,75,2179,793,0.54,13.31,*,3,63
14,Hand,2015_16,Hand 15_16,Aerial,1,14,1,Opus,60-60,split 2,316,555,1429,1.27,71,2333,924,0.47,12.49,*,3,59
15,Hand,2015_16,Hand 15_16,Aerial,1,15,1,Reiziq,60-120,split 3,258,473,883,1.39,66,2079,680,0.53,12.34,*,1,59
16,Hand,2015_16,Hand 15_16,Aerial,1,16,1,Reiziq,120-0,PW_1,336,668,1213,1.41,94,1871,679,0.5,10.48,*,1,59
17,Hand,2015_16,Hand 15_16,Aerial,1,17,1,Opus,120-0,PW_1,226,646,1618,1.34,87,2226,971,0.45,11.35,*,1,56
18,Hand,2015_16,Hand 15_16,Aerial,1,18,1,Sherpa,120-60,split,326,692,1335,1.31,91,2454,894,0.52,14.45,*,1,67
19,Hand,2015_16,Hand 15_16,Aerial,1,19,1,Reiziq,180-0,PW_2,304,671,1257,1.72,116,2325,731,0.49,12.72,*,1,65
20,Hand,2015_16,Hand 15_16,Aerial,1,20,1,Opus,60-120,split 3,304,553,1266,1.13,63,2295,969,0.49,12.62,*,8,63
21,Hand,2015_16,Hand 15_16,Aerial,1,21,1,Koshi,120-60,split,264,508,1153,1.41,72,2201,958,0.38,9.54,*,9,76
22,Hand,2015_16,Hand 15_16,Aerial,1,22,1,Koshi,60-60,split 2,286,457,1149,1.36,62,2126,962,0.4,9.66,*,9,74
23,Hand,2015_16,Hand 15_16,Aerial,1,23,1,Sherpa,180-0,PW_2,232,630,897,1.62,102,2268,920,0.5,12.88,*,1,61
24,Hand,2015_16,Hand 15_16,Aerial,1,24,1,Reiziq,0,zero,242,397,839,1.04,41,1390,615,0.51,8.02,*,1,52
25,Hand,2015_16,Hand 15_16,Aerial,2,1,2,Sherpa,0,zero,262,453,1150,1.26,57,1752,817,0.51,10.08,*,1,53
26,Hand,2015_16,Hand 15_16,Aerial,2,2,2,Reiziq,180-0,PW_2,302,643,1493,1.68,108,2483,1002,0.44,12.42,*,1,61
27,Hand,2015_16,Hand 15_16,Aerial,2,3,2,Reiziq,0,zero,260,442,1141,1.08,48,1539,688,0.48,8.33,*,1,53
28,Hand,2015_16,Hand 15_16,Aerial,2,4,2,Koshi,180-0,PW_2,306,669,1720,1.85,124,2339,1242,0.33,8.76,*,8,76
29,Hand,2015_16,Hand 15_16,Aerial,2,5,2,Opus,60-60,split 2,402,611,1296,1.27,78,2282,1087,0.47,12.02,*,2,55
30,Hand,2015_16,Hand 15_16,Aerial,2,6,2,Opus,120-0,PW_1,384,667,1343,1.4,93,2118,1143,0.43,10.33,*,1,55
31,Hand,2015_16,Hand 15_16,Aerial,2,7,2,Koshi,120-60,split,362,626,1191,1.46,92,2164,1116,0.37,9.11,*,9,75
32,Hand,2015_16,Hand 15_16,Aerial,2,8,2,Sherpa,60-120,split 3,280,533,1171,1.18,63,2187,799,0.55,13.54,*,4,65
33,Hand,2015_16,Hand 15_16,Aerial,2,9,2,Opus,0,zero,384,410,1200,1.15,47,1701,1013,0.46,8.76,*,2,51
34,Hand,2015_16,Hand 15_16,Aerial,2,10,2,Koshi,60-60,split 2,298,535,1196,1.17,63,2058,952,0.39,9.06,*,9,75
35,Hand,2015_16,Hand 15_16,Aerial,2,11,2,Opus,60-120,split 3,312,558,1284,1.13,63,2193,885,0.49,12.1,*,7,57
36,Hand,2015_16,Hand 15_16,Aerial,2,12,2,Reiziq,120-60,split,370,542,1088,2,109,2177,734,0.51,12.63,*,3,62
37,Hand,2015_16,Hand 15_16,Aerial,2,13,2,Koshi,120-0,PW_1,270,674,1579,1.38,93,2135,924,0.39,9.29,*,9,70
