Obs,Weight,Length,L,Width,Wd
104,5.9,8.8,15,1.4,2
105,32,14.7,15,2,2
106,40,16,15,2.4,2
107,51.5,17.2,15,2.6,3
108,70,18.5,15,2.9,3
109,100,19.2,15,3.3,3
110,78,19.4,15,3.1,3
111,80,20.2,15,3.1,3
112,85,20.8,15,3,3
113,85,21,25,2.8,3
115,115,22.5,25,3.3,3
114,110,22.5,25,3.6,4
116,125,22.5,25,3.7,4
117,130,22.8,25,3.5,4
118,120,23.5,25,3.4,3
119,120,23.5,25,3.5,4
120,130,23.5,25,3.5,4
121,135,23.5,25,3.5,4
122,110,23.5,25,4,4
123,130,24,25,3.6,4
124,150,24,25,3.6,4
125,145,24.2,25,3.6,4
126,150,24.5,25,3.6,4
127,170,25,25,3.7,4
128,225,25.5,25,3.7,4
129,145,25.5,25,3.8,4
130,188,26.2,25,4.2,4
131,180,26.5,25,3.7,4
132,197,27,25,4.2,4
133,218,28,25,4.1,4
134,300,28.7,25,5.1,5
135,260,28.9,25,4.3,4
136,265,28.9,25,4.3,4
137,250,28.9,25,4.6,5
138,250,29.4,25,4.2,4
139,300,30.1,35,4.6,5
140,320,31.6,35,4.8,5
141,514,34,35,6,6
142,556,36.5,35,6.4,6
143,840,37.3,35,7.8,8
145,700,38.3,35,6.7,7
144,685,39,35,6.9,7
147,690,39.3,35,6.4,6
146,700,39.4,35,6.3,6
150,820,41.3,43,7.4,7
149,650,41.4,43,6,6
148,900,41.4,43,7.5,8
151,850,42.3,43,7.1,7
153,1015,42.4,43,7.5,8
154,820,42.5,43,6.6,7
152,900,42.5,43,7.2,7
155,1100,44.6,43,6.9,7
156,1000,45.2,43,7.3,7
157,1100,45.5,43,7.4,7
158,1000,46,43,8.1,8
159,1000,46.6,43,7.6,8
